Year,Team,Totals,TD,YDS,AVG,LG,REC,NO,FC,LOST,OWN,OPP,G20+,G40+,FUM
1965,llarm,Opponents Totals,0,1175,21.8,43,,54,,,,,,,
1965,min,Team Totals,0,1011,20.6,50,,49,,,,,,,
1965,min,Opponents Totals,0,976,23.2,,,42,,,,,,,
1965,larm,Team Totals,0,1438,24.0,74,,60,,,,,,,
1965,larm,Opponents Totals,0,1531,26.4,88,,58,,,,,,,
1965,bal,Team Totals,0,1287,23.4,66,,55,,,,,,,
1965,bal,Opponents Totals,0,1228,24.6,,,50,,,,,,,
1965,lten,Team Totals,0,1238,20.3,58,,61,,,,,,,
1965,lten,Opponents Totals,0,684,22.8,,,30,,,,,,,
1965,dul,Team Totals,0,1040,20.8,52,,50,,,,,,,
1965,dul,Opponents Totals,0,1216,23.4,68,,52,,,,,,,
1965,atl,Team Totals,0,1242,23.9,53,,52,,,,,,,
1965,atl,Opponents Totals,1,1346,21.4,101t,,63,,,,,,,
1965,ham,Team Totals,1,1146,25.5,96t,,45,,,,,,,
1965,ham,Opponents Totals,0,1583,22.0,86,,72,,,,,,,
1965,jac,Team Totals,0,1276,21.6,46,,59,,,,,,,
1965,jac,Opponents Totals,1,1566,26.5,99t,,59,,,,,,,
1965,lind,Team Totals,1,1524,22.7,101t,,67,,,,,,,
1965,lind,Opponents Totals,1,1557,25.1,96t,,62,,,,,,,
1965,was,Team Totals,0,1416,27.2,94,,52,,,,,,,
1965,was,Opponents Totals,0,858,20.0,,,43,,,,,,,
1965,col,Team Totals,0,1351,25.5,56,,53,,,,,,,
1965,col,Opponents Totals,0,1364,25.3,,,54,,,,,,,
1966,lkc,Team Totals,1,1006,22.9,87t,,44,,,,,,,
1966,lkc,Opponents Totals,3,1699,21.8,93t,,78,,,,,,,
1966,har,Team Totals,0,1111,20.6,57,,54,,,,,,,
1966,har,Opponents Totals,2,1501,22.1,94t,,68,,,,,,,
1966,llarm,Team Totals,2,1419,22.2,93t,,64,,,,,,,
1966,llarm,Opponents Totals,0,1330,20.5,56,,65,,,,,,,
1966,min,Team Totals,1,1348,23.6,94t,,57,,,,,,,
1966,min,Opponents Totals,0,1021,20.4,,,50,,,,,,,
1966,larm,Team Totals,0,1435,20.8,58,,69,,,,,,,
1966,larm,Opponents Totals,0,1488,21.3,,,70,,,,,,,
1966,bal,Team Totals,1,1384,21.6,93t,,64,,,,,,,
1966,bal,Opponents Totals,1,1485,23.6,,,63,,,,,,,
1966,lten,Team Totals,0,1737,21.2,80,,82,,,,,,,
1966,lten,Opponents Totals,0,962,21.9,58,,44,,,,,,,
1966,dul,Team Totals,1,1616,20.2,90t,,80,,,,,,,
1966,dul,Opponents Totals,0,1085,22.1,49,,49,,,,,,,
1966,atl,Team Totals,0,903,21.5,65,,42,,,,,,,
1966,atl,Opponents Totals,0,1213,23.3,51,,52,,,,,,,
1966,ham,Team Totals,0,1094,21.5,54,,51,,,,,,,
1966,ham,Opponents Totals,0,1320,21.0,40,,63,,,,,,,
1966,jac,Team Totals,0,1015,24.2,81,,42,,,,,,,
1966,jac,Opponents Totals,1,1329,22.9,,,58,,,,,,,
1966,lind,Team Totals,0,1326,23.7,56,,56,,,,,,,
1966,lind,Opponents Totals,0,1343,22.8,81,,59,,,,,,,
1966,was,Team Totals,2,1341,27.9,94,,48,,,,,,,
1966,was,Opponents Totals,0,1055,21.5,44t,,49,,,,,,,
1966,col,Team Totals,0,1316,22.7,63,,58,,,,,,,
1966,col,Opponents Totals,0,1004,22.3,,,45,,,,,,,
1966,tol,Team Totals,0,987,19.0,30,,52,,,,,,,
1966,tol,Opponents Totals,0,1203,24.1,90,,50,,,,,,,
1967,lkc,Team Totals,0,1014,21.1,37,,48,,,,,,,
1967,lkc,Opponents Totals,0,1350,22.9,54,,59,,,,,,,
1967,har,Team Totals,0,1246,20.1,46,,62,,,,,,,
1967,har,Opponents Totals,2,1468,24.9,96t,,59,,,,,,,
1967,llarm,Team Totals,1,1330,21.8,96t,,61,,,,,,,
1967,llarm,Opponents Totals,1,1233,22.8,,,54,,,,,,,
1967,min,Team Totals,2,1739,24.2,94t,,72,,,,,,,
1967,min,Opponents Totals,0,1166,22.9,,,51,,,,,,,
1967,larm,Team Totals,1,1396,25.4,104t,,55,,,,,,,
1967,larm,Opponents Totals,2,1288,21.8,87t,,59,,,,,,,
1967,bal,Team Totals,0,1363,19.8,48,,69,,,,,,,
1967,bal,Opponents Totals,1,1511,21.9,96t,,69,,,,,,,
1967,lten,Team Totals,0,1372,20.8,41,,66,,,,,,,
1967,lten,Opponents Totals,1,1481,22.8,,,65,,,,,,,
1967,dul,Team Totals,0,1221,21.1,45,,58,,,,,,,
1967,dul,Opponents Totals,1,1300,23.2,,,56,,,,,,,
1967,atl,Team Totals,0,1033,24.0,58,,43,,,,,,,
1967,atl,Opponents Totals,2,1414,21.4,104t,,66,,,,,,,
1967,ham,Team Totals,0,988,23.5,48,,42,,,,,,,
1967,ham,Opponents Totals,1,1483,22.8,99t,,65,,,,,,,
1967,jac,Team Totals,0,1326,23.7,94,,56,,,,,,,
1967,jac,Opponents Totals,1,311,5.8,97t,,54,,,,,,,
1967,lind,Team Totals,1,1471,21.3,99t,,69,,,,,,,
1967,lind,Opponents Totals,0,889,23.4,58,,38,,,,,,,
1967,was,Team Totals,4,1241,27.0,104t,,46,,,,,,,
1967,was,Opponents Totals,0,1276,21.6,50,,59,,,,,,,
1967,col,Team Totals,3,1157,24.6,103t,,47,,,,,,,
1967,col,Opponents Totals,0,1064,20.5,,,52,,,,,,,
1967,tol,Team Totals,0,1145,22.9,60,,50,,,,,,,
1967,tol,Opponents Totals,1,959,22.3,,,43,,,,,,,
1967,ltb,Team Totals,1,1215,22.9,96t,,53,,,,,,,
1967,ltb,Opponents Totals,0,1076,22.4,51,,48,,,,,,,
1968,lkc,Team Totals,0,974,18.0,43,,54,,,,,,,
1968,lkc,Opponents Totals,0,1417,22.1,80,,64,,,,,,,
1968,har,Team Totals,0,1404,25.1,75,,56,,,,,,,
1968,har,Opponents Totals,1,1303,23.3,94,,56,,,,,,,
1968,llarm,Team Totals,0,1149,21.7,48,,53,,,,,,,
1968,llarm,Opponents Totals,0,1134,19.9,,,57,,,,,,,
1968,min,Team Totals,0,1502,21.5,80,,70,,,,,,,
1968,min,Opponents Totals,0,1154,23.6,,,49,,,,,,,
1968,larm,Team Totals,0,841,21.6,40,,39,,,,,,,
1968,larm,Opponents Totals,0,1326,19.5,53,,68,,,,,,,
1968,bal,Team Totals,0,1110,17.9,66,,62,,,,,,,
1968,bal,Opponents Totals,1,1344,26.4,98t,,51,,,,,,,
1968,lten,Team Totals,0,1410,22.0,49,,64,,,,,,,
1968,lten,Opponents Totals,0,996,19.5,,,51,,,,,,,
1968,dul,Team Totals,1,1379,22.6,98t,,61,,,,,,,
1968,dul,Opponents Totals,0,1030,22.9,75,,45,,,,,,,
1968,atl,Team Totals,2,1003,26.4,102t,,38,,,,,,,
1968,atl,Opponents Totals,0,1391,19.6,35,,71,,,,,,,
1968,ham,Team Totals,1,1024,22.8,94t,,45,,,,,,,
1968,ham,Opponents Totals,1,1262,20.4,98t,,62,,,,,,,
1968,jac,Team Totals,0,1064,17.7,38,,60,,,,,,,
1968,jac,Opponents Totals,1,1163,20.8,96t,,56,,,,,,,
1968,lind,Team Totals,0,1273,18.7,42,,68,,,,,,,
1968,lind,Opponents Totals,0,799,19.0,60,,42,,,,,,,
1968,was,Team Totals,0,1049,20.2,82,,52,,,,,,,
1968,was,Opponents Totals,0,1291,23.1,46,,56,,,,,,,
1968,col,Team Totals,0,1370,23.6,88,,58,,,,,,,
1968,col,Opponents Totals,0,968,17.9,41,,54,,,,,,,
1968,tol,Team Totals,0,1007,21.0,60,,48,,,,,,,
1968,tol,Opponents Totals,0,1211,21.6,46,,56,,,,,,,
1968,ltb,Team Totals,1,1247,23.1,98t,,54,,,,,,,
1968,ltb,Opponents Totals,1,1017,23.1,,,44,,,,,,,
1969,lkc,Team Totals,0,985,21.4,65,,46,,,,,,,
1969,lkc,Opponents Totals,0,1166,20.8,48,,56,,,,,,,
1969,har,Team Totals,0,1075,19.2,33,,56,,,,,,,
1969,har,Opponents Totals,0,1100,24.4,71,,45,,,,,,,
1969,llarm,Team Totals,1,1507,22.2,100t,,68,,,,,,,
1969,llarm,Opponents Totals,0,1007,20.6,86,,49,,,,,,,
1969,min,Team Totals,1,1241,20.7,101t,,60,,,,,,,
1969,min,Opponents Totals,1,962,20.9,,,46,,,,,,,
1969,larm,Team Totals,0,718,19.9,46,,36,,,,,,,
1969,larm,Opponents Totals,0,1242,19.4,60,,64,,,,,,,
1969,bal,Team Totals,0,1268,21.1,54,,60,,,,,,,
1969,bal,Opponents Totals,0,1198,25.0,,,48,,,,,,,
1969,lten,Team Totals,0,1455,23.5,86,,62,,,,,,,
1969,lten,Opponents Totals,0,935,19.5,,,48,,,,,,,
1969,dul,Team Totals,0,1258,20.0,42,,63,,,,,,,
1969,dul,Opponents Totals,0,1043,20.5,54,,51,,,,,,,
1969,atl,Team Totals,0,1107,20.9,37,,53,,,,,,,
1969,atl,Opponents Totals,0,1208,21.6,88,,56,,,,,,,
1969,ham,Team Totals,1,1290,25.3,92t,,51,,,,,,,
1969,ham,Opponents Totals,0,1135,20.6,42,,55,,,,,,,
1969,jac,Team Totals,1,1104,21.2,61,,52,,,,,,,
1969,jac,Opponents Totals,2,1132,21.8,96t,,52,,,,,,,
1969,lind,Team Totals,0,908,19.3,60,,47,,,,,,,
1969,lind,Opponents Totals,1,1186,27.6,87t,,43,,,,,,,
1969,was,Team Totals,0,774,23.5,78,,33,,,,,,,
1969,was,Opponents Totals,1,1453,20.8,101t,,70,,,,,,,
1969,col,Team Totals,1,1017,24.2,96t,,42,,,,,,,
1969,col,Opponents Totals,0,1242,21.1,,,59,,,,,,,
1969,tol,Team Totals,2,1165,23.3,96t,,50,,,,,,,
1969,tol,Opponents Totals,1,1078,21.1,100t,,51,,,,,,,
1969,ltb,Team Totals,0,1132,21.8,74,,52,,,,,,,
1969,ltb,Opponents Totals,1,917,24.1,86,,38,,,,,,,
1970,lkc,Team Totals,1,1161,25.8,99t,,45,,,,,,,
1970,lkc,Opponents Totals,0,1237,21.3,56,,58,,,,,,,
1970,har,Team Totals,1,1036,21.6,96t,,48,,,,,,,
1970,har,Opponents Totals,1,1142,20.8,99t,,55,,,,,,,
1970,llarm,Team Totals,0,1106,19.8,41,,56,,,,,,,
1970,llarm,Opponents Totals,2,1210,20.9,95t,,58,,,,,,,
1970,min,Team Totals,2,1244,20.1,95t,,62,,,,,,,
1970,min,Opponents Totals,1,1112,24.2,95t,,46,,,,,,,
1970,larm,Team Totals,0,1275,20.6,52,,62,,,,,,,
1970,larm,Opponents Totals,2,841,16.5,96t,,51,,,,,,,
1970,bal,Team Totals,1,1002,25.7,95t,,39,,,,,,,
1970,bal,Opponents Totals,0,774,23.5,51,,33,,,,,,,
1970,lten,Team Totals,1,1001,22.8,94t,,44,,,,,,,
1970,lten,Opponents Totals,0,956,24.5,91,,39,,,,,,,
1970,dul,Team Totals,0,997,24.9,91,,40,,,,,,,
1970,dul,Opponents Totals,1,1068,21.8,100,,49,,,,,,,
1970,atl,Team Totals,0,1168,21.2,45,,55,,,,,,,
1970,atl,Opponents Totals,0,741,23.2,35,,32,,,,,,,
1970,ham,Team Totals,0,1017,23.1,62,,44,,,,,,,
1970,ham,Opponents Totals,0,1233,22.8,48,,54,,,,,,,
1970,jac,Team Totals,0,997,22.7,48,,44,,,,,,,
1970,jac,Opponents Totals,0,1128,25.1,49,,45,,,,,,,
1970,lind,Team Totals,0,813,19.4,41,,42,,,,,,,
1970,lind,Opponents Totals,0,1153,22.2,52,,52,,,,,,,
1970,was,Team Totals,0,1114,22.7,39,,49,,,,,,,
1970,was,Opponents Totals,0,544,22.7,51,,24,,,,,,,
1970,col,Team Totals,1,888,24.0,100t,,37,,,,,,,
1970,col,Opponents Totals,0,1142,19.0,44,,60,,,,,,,
1970,tol,Team Totals,0,1157,22.3,69,,52,,,,,,,
1970,tol,Opponents Totals,1,1359,23.8,95t,,57,,,,,,,
1970,ltb,Team Totals,0,926,19.7,32,,47,,,,,,,
1970,ltb,Opponents Totals,1,1262,23.4,98t,,54,,,,,,,
1970,lmin,Team Totals,0,1223,20.0,51,,61,,,,,,,
1970,lmin,Opponents Totals,1,1181,24.1,100,,49,,,,,,,
1970,c-p,Team Totals,0,1252,21.2,82,,59,,,,,,,
1970,c-p,Opponents Totals,1,1030,20.6,96t,,50,,,,,,,
1970,chit,Team Totals,0,842,23.4,66,,36,,,,,,,
1970,chit,Opponents Totals,3,1514,21.9,101t,,69,,,,,,,
1970,nyj,Team Totals,1,959,22.3,85t,,43,,,,,,,
1970,nyj,Opponents Totals,0,1427,21.3,41,,67,,,,,,,
1970,dal,Team Totals,4,1472,26.3,96t,,56,,,,,,,
1970,dal,Opponents Totals,0,935,19.9,32,,47,,,,,,,
1970,latl,Team Totals,2,1422,22.6,101t,,63,,,,,,,
1970,latl,Opponents Totals,0,888,24.7,82,,36,,,,,,,
1970,lbuf,Team Totals,0,967,19.7,55,,49,,,,,,,
1970,lbuf,Opponents Totals,0,1362,23.5,62,,58,,,,,,,
1970,stl,Team Totals,1,1236,26.3,98t,,47,,,,,,,
1970,stl,Opponents Totals,0,1278,18.0,44,,71,,,,,,,
1970,det,Team Totals,0,916,19.5,32,,47,,,,,,,
1970,det,Opponents Totals,1,983,24.0,94t,,41,,,,,,,
1970,lac,Team Totals,0,1044,19.7,38,,53,,,,,,,
1970,lac,Opponents Totals,0,735,21.0,55,,35,,,,,,,
1971,lkc,Team Totals,1,806,25.2,94t,,32,,,,,,,
1971,lkc,Opponents Totals,0,1180,20.0,35,,59,,,,,,,
1971,har,Team Totals,0,679,21.2,54,,32,,,,,,,
1971,har,Opponents Totals,0,1345,21.7,57,,62,,,,,,,
1971,llarm,Team Totals,0,1354,21.2,45,,64,,,,,,,
1971,llarm,Opponents Totals,1,1427,29.1,94t,,49,,,,,,,
1971,min,Team Totals,0,1168,21.2,41,,55,,,,,,,
1971,min,Opponents Totals,1,906,26.6,101t,,34,,,,,,,
1971,larm,Team Totals,0,1673,22.6,44,,74,,,,,,,
1971,larm,Opponents Totals,0,971,23.1,60,,42,,,,,,,
1971,bal,Team Totals,0,1065,23.2,52,,46,,,,,,,
1971,bal,Opponents Totals,0,1252,22.8,58,,55,,,,,,,
1971,lten,Team Totals,0,1120,22.9,77,,49,,,,,,,
1971,lten,Opponents Totals,0,1002,22.3,57,,45,,,,,,,
1971,dul,Team Totals,0,1409,23.9,45,,59,,,,,,,
1971,dul,Opponents Totals,0,862,21.0,71,,41,,,,,,,
1971,atl,Team Totals,0,863,20.1,37,,43,,,,,,,
1971,atl,Opponents Totals,0,1024,26.3,80,,39,,,,,,,
1971,ham,Team Totals,0,1031,21.9,41,,47,,,,,,,
1971,ham,Opponents Totals,0,1071,22.8,44,,47,,,,,,,
1971,jac,Team Totals,0,1234,22.9,44,,54,,,,,,,
1971,jac,Opponents Totals,0,1155,21.0,41,,55,,,,,,,
1971,lind,Team Totals,0,1000,20.4,71,,49,,,,,,,
1971,lind,Opponents Totals,0,1245,22.6,63,,55,,,,,,,
1971,was,Team Totals,0,960,21.8,48,,44,,,,,,,
1971,was,Opponents Totals,0,1059,24.6,51,,43,,,,,,,
1971,col,Team Totals,2,1376,27.5,101t,,50,,,,,,,
1971,col,Opponents Totals,0,1681,24.0,52,,70,,,,,,,
1971,tol,Team Totals,0,913,21.2,48,,43,,,,,,,
1971,tol,Opponents Totals,0,1066,17.5,41,,61,,,,,,,
1971,ltb,Team Totals,0,1183,24.1,52,,49,,,,,,,
1971,ltb,Opponents Totals,1,1101,22.9,103t,,48,,,,,,,
1971,lmin,Team Totals,1,1363,23.5,103t,,58,,,,,,,
1971,lmin,Opponents Totals,1,1318,24.4,93t,,54,,,,,,,
1971,c-p,Team Totals,1,1416,22.5,93t,,63,,,,,,,
1971,c-p,Opponents Totals,0,1063,23.6,77,,45,,,,,,,
1971,chit,Team Totals,0,960,23.4,47,,41,,,,,,,
1971,chit,Opponents Totals,0,1077,22.0,41,,49,,,,,,,
1971,nyj,Team Totals,2,1233,24.2,102t,,51,,,,,,,
1971,nyj,Opponents Totals,0,1627,23.2,48,,70,,,,,,,
1971,dal,Team Totals,0,1325,22.5,41,,59,,,,,,,
1971,dal,Opponents Totals,1,817,25.5,102t,,32,,,,,,,
1971,latl,Team Totals,1,1546,26.7,90t,,58,,,,,,,
1971,latl,Opponents Totals,0,1248,22.3,82,,56,,,,,,,
1971,lbuf,Team Totals,0,1075,23.4,74,,46,,,,,,,
1971,lbuf,Opponents Totals,0,1467,24.0,65,,61,,,,,,,
1971,stl,Team Totals,1,1322,24.5,105t,,54,,,,,,,
1971,stl,Opponents Totals,1,1176,20.6,89t,,57,,,,,,,
1971,det,Team Totals,0,1477,25.0,82,,59,,,,,,,
1971,det,Opponents Totals,1,1228,23.6,97t,,52,,,,,,,
1971,lac,Team Totals,0,1143,20.4,51,,56,,,,,,,
1971,lac,Opponents Totals,2,1326,24.6,105,,54,,,,,,,
1972,lkc,Team Totals,0,546,22.8,45,,24,,,,,,,
1972,lkc,Opponents Totals,0,1283,22.9,39,,56,,,,,,,
1972,har,Team Totals,0,1218,21.8,51,,56,,,,,,,
1972,har,Opponents Totals,1,1386,29.5,93t,,47,,,,,,,
1972,llarm,Team Totals,1,1321,28.1,93t,,47,,,,,,,
1972,llarm,Opponents Totals,0,1091,21.8,49,,50,,,,,,,
1972,min,Team Totals,0,1389,23.2,66,,60,,,,,,,
1972,min,Opponents Totals,0,644,22.2,82,,29,,,,,,,
1972,larm,Team Totals,0,1293,23.5,49,,55,,,,,,,
1972,larm,Opponents Totals,0,784,24.5,73,,32,,,,,,,
1972,bal,Team Totals,0,760,23.0,82,,33,,,,,,,
1972,bal,Opponents Totals,0,1190,22.0,47,,54,,,,,,,
1972,lten,Team Totals,0,933,22.8,47,,41,,,,,,,
1972,lten,Opponents Totals,0,1198,24.0,66,,50,,,,,,,
1972,dul,Team Totals,0,1018,22.1,62,,46,,,,,,,
1972,dul,Opponents Totals,0,984,22.4,34,,44,,,,,,,
1972,atl,Team Totals,0,1093,20.2,43,,54,,,,,,,
1972,atl,Opponents Totals,0,547,19.5,78,,28,,,,,,,
1972,ham,Team Totals,0,813,21.4,49,,38,,,,,,,
1972,ham,Opponents Totals,1,1393,23.6,94,,59,,,,,,,
1972,jac,Team Totals,0,1057,23.0,48,,46,,,,,,,
1972,jac,Opponents Totals,0,1083,25.2,42,,43,,,,,,,
1972,lind,Team Totals,1,1256,22.8,94t,,55,,,,,,,
1972,lind,Opponents Totals,0,1246,23.1,43,,54,,,,,,,
1972,was,Team Totals,0,1273,21.2,41,,60,,,,,,,
1972,was,Opponents Totals,1,1225,23.1,94t,,53,,,,,,,
1972,col,Team Totals,0,1133,23.6,45,,48,,,,,,,
1972,col,Opponents Totals,0,1191,22.5,86,,53,,,,,,,
1972,tol,Team Totals,0,1080,21.6,44,,50,,,,,,,
1972,tol,Opponents Totals,0,1272,24.5,55,,52,,,,,,,
1972,ltb,Team Totals,1,1262,25.2,92t,,50,,,,,,,
1972,ltb,Opponents Totals,0,1516,24.1,46,,63,,,,,,,
1972,lmin,Team Totals,0,1152,21.7,41,,53,,,,,,,
1972,lmin,Opponents Totals,1,1037,25.9,91t,,40,,,,,,,
1972,c-p,Team Totals,0,1375,23.3,78,,59,,,,,,,
1972,c-p,Opponents Totals,0,886,21.6,48,,41,,,,,,,
1972,chit,Team Totals,0,1141,23.3,89,,49,,,,,,,
1972,chit,Opponents Totals,0,932,20.3,37,,46,,,,,,,
1972,nyj,Team Totals,0,1304,25.1,62,,52,,,,,,,
1972,nyj,Opponents Totals,1,1593,23.4,92t,,68,,,,,,,
1972,dal,Team Totals,0,989,23.5,48,,42,,,,,,,
1972,dal,Opponents Totals,0,1373,22.1,57,,62,,,,,,,
1972,latl,Team Totals,2,1528,29.4,94t,,52,,,,,,,
1972,latl,Opponents Totals,0,1025,24.4,89,,42,,,,,,,
1972,lbuf,Team Totals,1,1041,23.7,98t,,44,,,,,,,
1972,lbuf,Opponents Totals,0,1530,23.2,75,,66,,,,,,,
1972,stl,Team Totals,0,1039,20.0,52,,52,,,,,,,
1972,stl,Opponents Totals,1,1076,22.4,98t,,48,,,,,,,
1972,det,Team Totals,0,1287,23.0,53,,56,,,,,,,
1972,det,Opponents Totals,0,999,18.5,57,,54,,,,,,,
1972,lac,Team Totals,0,1312,21.2,61,,62,,,,,,,
1972,lac,Opponents Totals,0,1129,22.6,48,,50,,,,,,,
1973,lkc,Team Totals,0,523,21.8,51,,24,,,,,,,
1973,lkc,Opponents Totals,0,1202,21.5,42,,56,,,,,,,
1973,har,Team Totals,2,972,23.1,101t,,42,,,,,,,
1973,har,Opponents Totals,1,934,21.2,101t,,44,,,,,,,
1973,llarm,Team Totals,1,1372,24.1,92t,,57,,,,,,,
1973,llarm,Opponents Totals,1,963,24.1,90t,,40,,,,,,,
1973,min,Team Totals,1,1061,20.4,82t,,52,,,,,,,
1973,min,Opponents Totals,0,1021,23.2,51,,44,,,,,,,
1973,larm,Team Totals,1,1343,22.4,101t,,60,,,,,,,
1973,larm,Opponents Totals,0,950,22.6,60,,42,,,,,,,
1973,bal,Team Totals,0,876,22.5,41,,39,,,,,,,
1973,bal,Opponents Totals,1,1170,27.9,103t,,42,,,,,,,
1973,lten,Team Totals,0,843,21.1,48,,40,,,,,,,
1973,lten,Opponents Totals,0,1357,23.0,46,,59,,,,,,,
1973,dul,Team Totals,0,1084,22.1,59,,49,,,,,,,
1973,dul,Opponents Totals,0,1165,24.3,58,,48,,,,,,,
1973,atl,Team Totals,1,1799,23.7,103t,,76,,,,,,,
1973,atl,Opponents Totals,1,811,21.9,95t,,37,,,,,,,
1973,ham,Team Totals,0,937,24.0,76,,39,,,,,,,
1973,ham,Opponents Totals,0,981,21.3,51,,46,,,,,,,
1973,jac,Team Totals,0,793,22.0,50,,36,,,,,,,
1973,jac,Opponents Totals,1,1244,20.4,82t,,61,,,,,,,
1973,lind,Team Totals,0,725,23.4,40,,31,,,,,,,
1973,lind,Opponents Totals,0,1031,25.8,76,,40,,,,,,,
1973,was,Team Totals,0,1597,22.8,70,,70,,,,,,,
1973,was,Opponents Totals,1,862,24.6,92t,,35,,,,,,,
1973,col,Team Totals,0,725,22.0,63,,33,,,,,,,
1973,col,Opponents Totals,0,1320,24.9,53,,53,,,,,,,
1973,tol,Team Totals,1,1118,26.0,97t,,43,,,,,,,
1973,tol,Opponents Totals,1,1237,20.0,97t,,62,,,,,,,
1973,ltb,Team Totals,0,1441,22.9,53,,63,,,,,,,
1973,ltb,Opponents Totals,1,1246,22.7,101t,,55,,,,,,,
1973,lmin,Team Totals,1,1369,23.6,97t,,58,,,,,,,
1973,lmin,Opponents Totals,1,1350,23.7,97t,,57,,,,,,,
1973,c-p,Team Totals,0,1198,21.4,51,,56,,,,,,,
1973,c-p,Opponents Totals,0,988,23.5,54,,42,,,,,,,
1973,chit,Team Totals,0,752,21.5,45,,35,,,,,,,
1973,chit,Opponents Totals,0,1148,19.5,47,,59,,,,,,,
1973,nyj,Team Totals,0,1061,21.2,60,,50,,,,,,,
1973,nyj,Opponents Totals,0,1220,21.0,67,,58,,,,,,,
1973,dal,Team Totals,0,1189,22.4,84,,53,,,,,,,
1973,dal,Opponents Totals,0,817,20.4,45,,40,,,,,,,
1973,latl,Team Totals,1,1344,22.8,95t,,59,,,,,,,
1973,latl,Opponents Totals,0,813,24.6,84,,33,,,,,,,
1973,lbuf,Team Totals,1,915,25.4,93t,,36,,,,,,,
1973,lbuf,Opponents Totals,0,1318,19.4,35,,68,,,,,,,
1973,stl,Team Totals,0,1107,20.9,51,,53,,,,,,,
1973,stl,Opponents Totals,0,1369,23.6,50,,58,,,,,,,
1973,det,Team Totals,0,947,20.1,48,,47,,,,,,,
1973,det,Opponents Totals,0,724,21.9,37,,33,,,,,,,
1973,lac,Team Totals,0,1301,20.7,54,,63,,,,,,,
1973,lac,Opponents Totals,1,1151,22.1,93t,,52,,,,,,,
1974,lkc,Team Totals,0,1118,22.8,73,,49,,,,,,,
1974,lkc,Opponents Totals,0,1222,19.1,57,,64,,,,,,,
1974,har,Team Totals,0,1128,22.6,74,,50,,,,,,,
1974,har,Opponents Totals,0,1345,23.2,53,,58,,,,,,,
1974,llarm,Team Totals,0,1198,20.7,62,,58,,,,,,,
1974,llarm,Opponents Totals,1,1678,26.2,88t,,64,,,,,,,
1974,min,Team Totals,0,1307,21.4,46,,61,,,,,,,
1974,min,Opponents Totals,0,1395,24.5,68,,57,,,,,,,
1974,larm,Team Totals,0,1489,22.6,55,,66,,,,,,,
1974,larm,Opponents Totals,0,903,20.1,38,,45,,,,,,,
1974,bal,Team Totals,0,901,21.5,60,,42,,,,,,,
1974,bal,Opponents Totals,0,1275,22.8,45,,56,,,,,,,
1974,lten,Team Totals,0,1419,22.9,67,,62,,,,,,,
1974,lten,Opponents Totals,0,1111,21.8,61,,51,,,,,,,
1974,dul,Team Totals,0,1157,21.4,48,,54,,,,,,,
1974,dul,Opponents Totals,0,1198,21.8,59,,55,,,,,,,
1974,atl,Team Totals,1,1375,22.9,88t,,60,,,,,,,
1974,atl,Opponents Totals,1,1345,24.5,94t,,55,,,,,,,
1974,ham,Team Totals,0,1140,22.8,67,,50,,,,,,,
1974,ham,Opponents Totals,0,1455,21.1,57,,69,,,,,,,
1974,jac,Team Totals,0,1188,22.0,41,,54,,,,,,,
1974,jac,Opponents Totals,1,1369,24.0,84t,,57,,,,,,,
1974,lind,Team Totals,0,1211,21.6,57,,56,,,,,,,
1974,lind,Opponents Totals,0,1333,24.7,52,,54,,,,,,,
1974,was,Team Totals,0,1142,20.8,39,,55,,,,,,,
1974,was,Opponents Totals,0,960,24.6,61,,39,,,,,,,
1974,col,Team Totals,1,1203,24.1,94t,,50,,,,,,,
1974,col,Opponents Totals,0,1203,22.3,67,,54,,,,,,,
1974,tol,Team Totals,1,1166,25.9,102t,,45,,,,,,,
1974,tol,Opponents Totals,0,1379,21.5,69,,64,,,,,,,
1974,ltb,Team Totals,0,1071,21.9,43,,49,,,,,,,
1974,ltb,Opponents Totals,0,1194,19.6,58,,61,,,,,,,
1974,lmin,Team Totals,0,1062,22.1,52,,48,,,,,,,
1974,lmin,Opponents Totals,1,1028,22.3,102t,,46,,,,,,,
1974,c-p,Team Totals,0,1458,24.7,72,,59,,,,,,,
1974,c-p,Opponents Totals,0,1154,25.6,62,,45,,,,,,,
1974,chit,Team Totals,0,1090,21.8,52,,50,,,,,,,
1974,chit,Opponents Totals,0,1116,17.4,33,,64,,,,,,,
1974,nyj,Team Totals,0,1293,20.9,59,,62,,,,,,,
1974,nyj,Opponents Totals,0,1256,20.9,52,,60,,,,,,,
1974,dal,Team Totals,0,1022,20.9,52,,49,,,,,,,
1974,dal,Opponents Totals,0,1156,21.0,43,,55,,,,,,,
1974,latl,Team Totals,0,1256,22.0,69,,57,,,,,,,
1974,latl,Opponents Totals,0,700,20.0,33,,35,,,,,,,
1974,lbuf,Team Totals,1,938,23.5,84t,,40,,,,,,,
1974,lbuf,Opponents Totals,0,1232,21.2,43,,58,,,,,,,
1974,stl,Team Totals,0,1144,22.4,57,,51,,,,,,,
1974,stl,Opponents Totals,0,1099,21.5,59,,51,,,,,,,
1974,det,Team Totals,0,1040,19.6,41,,53,,,,,,,
1974,det,Opponents Totals,0,894,22.4,52,,40,,,,,,,
1974,lac,Team Totals,0,1296,21.6,59,,60,,,,,,,
1974,lac,Opponents Totals,0,812,24.6,51,,33,,,,,,,
